"action","info","state","reward","done"
"[[0, 0, 0, -0.5, 0, 0], [0, 0, 0, 0.5, 0, 0]]",3,"[ 7.46169141e-01 -1.97460824e-01  4.65710560e-01  4.32844672e-01
  6.69151721e-01 -1.84885583e-01  4.32198668e-01  5.75549830e-01
  5.97423144e-01 -2.04739732e-01  6.33371896e-01  4.47221723e-01
  3.40665597e-01  2.60354117e-01 -1.10399776e-01  4.59041692e-01
  5.94930849e-02 -2.55697462e+00  2.28863856e-01  1.49984545e-01
  2.18033641e-03  1.69558455e-01 -5.10895818e-01 -1.73799347e+00
  3.64020376e-01  2.67548137e-01  7.48965458e-02 -4.27043360e-01
 -2.39536208e-01 -2.45039449e+00  1.92888756e-01  1.62626416e-01
  1.74191469e-01  2.41870639e-01  1.67255355e-01  1.11084570e-01
  1.29020493e+00  1.30337757e+00  1.30567731e+00]",-0.279303676271489,False
"[[-0.5, 0, 0, 0, 0, 0], [0.5, 0, 0, 0, 0, 0]]",3,"[ 0.75099292 -0.16790102  0.44206003  0.46087072  0.66839989 -0.15638148
  0.41591362  0.59649165  0.60752053 -0.1683369   0.61599528  0.47236777
  0.35392542  0.26239623 -0.1417092   0.50439517  0.08436009 -2.29714019
  0.23036261  0.14615275 -0.02739583  0.33648143 -0.47381257 -1.86062572
  0.38663803  0.280198    0.02897372 -0.46031481 -0.24189864 -2.36194249
  0.19492588  0.1611466   0.17849787  0.24384081  0.16704158  0.11188315
  1.28987932  1.30277971  1.305611  ]",-0.2880895766121766,False
"[[0, 0, -0.5, 0, 0, 0], [0, 0, 0.5, 0, 0, 0]]",3,"[ 0.75434888 -0.13668669  0.41617354  0.48895204  0.66433257 -0.12947131
  0.39989567  0.61804763  0.61611503 -0.1312151   0.59754517  0.4961095
  0.36255564  0.26357284 -0.16781748  0.51986662  0.10473465 -2.41942286
  0.24417073  0.15884255  0.00277607  0.46843764 -0.55030663 -1.86267154
  0.40960706  0.29483554  0.01020333 -0.47772823 -0.26334612 -2.54529431
  0.19740133  0.16286642  0.18112274  0.24662865  0.16909258  0.11545622
  1.28935284  1.3014432   1.30512934]",-0.30457683932765045,False
"[[0, 0, 0, 0, -0.5, 0], [0, 0, 0, 0, 0.5, 0]]",3,"[ 0.75899663 -0.10312349  0.38733658  0.51308872  0.66338071 -0.101124
  0.3810377   0.6360112   0.62515924 -0.09716632  0.57990951  0.51326367
  0.25623345  0.16885466  0.05458501  0.12400943  0.24827285 -2.21516987
  0.1738792   0.09957287  0.20290054  0.09800289 -0.31256208 -1.53906182
  0.3160292   0.18494913  0.19787206 -0.65643507 -0.05501583 -1.92929365
  0.2013065   0.16513747  0.18545821  0.2507579   0.16917939  0.11974919
  1.28850922  1.30040191  1.30415581]",-0.21302916607177658,False
"[[0, 0, -0.5, 0, 0, 0], [0, 0, 0.5, 0, 0, 0]]",3,"[ 0.76348128 -0.07506715  0.3622504   0.52937312  0.66196184 -0.08052156
  0.3678789   0.64806475  0.63387881 -0.06770327  0.56336218  0.52558251
  0.2010653   0.14135684  0.06442418  0.04500105  0.23433578 -1.77141934
  0.13958666  0.08432997  0.20314341  0.13553699 -0.28777907 -1.14013707
  0.25990515  0.1599067   0.18556486 -0.56988398 -0.05054615 -1.74086413
  0.20565978  0.16926756  0.18828579  0.25455652  0.17210062  0.12566001
  1.28751006  1.29876435  1.30303771]",-0.1488959249049573,1
"[[0, 0, -0.5, 0, 0, 0], [0, 0, 0.5, 0, 0, 0]]",3,"[ 0.76691945 -0.04066636  0.29942174  0.56615141  0.65294318  0.01963528
  0.28000306  0.70347562  0.67405654  0.04702244  0.46056243  0.57560309
  0.06060256  0.02390045  0.02898587  0.00561309  0.09216617 -0.17495615
  0.03389527  0.02215599  0.07937524  0.09468234 -0.05929458 -0.44928587
  0.06984145  0.03047699  0.04060695 -0.12354002  0.1043851  -0.48821698
  0.18408453  0.19412345  0.19879373  0.25594649  0.19792765  0.1321198
  1.29129927  1.29369399  1.29955119]",0.035628086677026716,False
"[[0, 0, 0, -0.5, 0, 0], [0, 0, 0, 0.5, 0, 0]]",3,"[ 0.76787408 -0.03555553  0.29412022  0.56797755  0.65086699  0.02186744
  0.27919989  0.70564963  0.67552121  0.05703455  0.45114427  0.58041968
  0.04267928  0.01438541  0.04620009 -0.04375859  0.05377963 -0.57417114
  0.03564757  0.01344252  0.09952005  0.13451586 -0.08478515 -0.01332569
  0.06772763  0.02423778  0.06950056 -0.13381314  0.03236479 -0.66965804
  0.18465067  0.19839764  0.19861296  0.2541966   0.20092598  0.13473884
  1.29126179  1.29296152  1.29893373]",0.04783169957011282,False
"[[0, -0.5, 0, 0, 0, 0], [0, 0.5, 0, 0, 0, 0]]",3,"[ 0.76894293 -0.02850216  0.2878501   0.57013746  0.64897765  0.01997398
  0.2835491   0.70571167  0.67616031  0.06757312  0.4435248   0.58440299
  0.03403985  0.01493715  0.04363888 -0.03995795  0.04694033 -0.46068706
  0.0345806   0.01935181  0.08255151  0.08736892 -0.10439922  0.22437331
  0.05503192  0.02073361  0.06434418 -0.14759708 -0.06742869 -0.63545001
  0.18713571  0.20154687  0.20006488  0.25437164  0.2044152   0.13909944
  1.29074394  1.29217367  1.29777489]",0.052846150212414476,False
"[[0, -0.5, 0, 0, 0, 0], [0, 0.5, 0, 0, 0, 0]]",3,"[ 0.76992532 -0.02346478  0.28312526  0.57140572  0.64742834  0.0193996
  0.2868219   0.70582816  0.67604212  0.07923769  0.43664653  0.58824166
  0.03319716  0.01572392  0.0606233  -0.06427042  0.04456746 -0.62178696
  0.03831983  0.02787538  0.05478799  0.05500051 -0.0949536   0.04724644
  0.05294531  0.01330518  0.07724388 -0.15004483 -0.11518695 -0.35544352
  0.19086097  0.20320478  0.20254941  0.25658393  0.20797231  0.1444202
  1.28982557  1.29185178  1.29591949]",0.055462133121127286,False
"[[-0.5, 0, 0, 0, 0, 0], [0.5, 0, 0, 0, 0, 0]]",3,"[ 0.77127365 -0.01867861  0.27829829  0.5721347   0.6461812   0.02309879
  0.28404363  0.70797989  0.67695425  0.0861567   0.43346439  0.58857335
  0.0306982   0.0119122   0.06486306 -0.05841225  0.08932432  0.03982078
  0.02331203  0.01981913  0.05497301  0.07243922 -0.03564335 -0.48837343
  0.03625334  0.01032615  0.0753387  -0.18338395 -0.05449734 -0.58274511
  0.19355657  0.20572684  0.20587416  0.25973653  0.21188687  0.15053806
  1.28901136  1.29103464  1.29413853]",0.06375076602350493,1
