action,info,state,reward,done
[-0.4477265  -0.17577922 -0.43377838 -0.38351783 -0.33705375 -0.17983729],3,"[ 0.57273771  0.53965085  0.14713851  0.59924847  0.38881148  0.47375231
  0.44131907  0.65545546  0.39420184  0.72601558  0.37547364  0.42014978
 -0.01652119 -0.02949289 -0.00378867  0.14288088 -0.17775686 -0.40597176
 -0.00213844  0.01958572 -0.07728766 -0.0941558  -0.07687382 -0.08798207
 -0.02109488 -0.02283251 -0.06068042  0.09158069  0.0645572   0.45795404
  0.46036398  0.3278694   0.43687529  0.43884847  0.45800415  0.43653855
  1.19866154  1.20950082  1.20337631]",0.11622497289504255,0
[-0.44538933 -0.16756108 -0.4475184  -0.4211378  -0.44463915 -0.18129188],3,"[ 5.71131592e-01  5.41048326e-01  1.48637768e-01  5.99151255e-01
  3.88237078e-01  4.75294421e-01  4.40264732e-01  6.55388549e-01
  3.94299879e-01  7.25333957e-01  3.75601307e-01  4.21119835e-01
  1.05938947e-03 -1.99762981e-02 -3.93389959e-02  1.76516674e-01
 -2.28528811e-01  3.65758738e-01  7.67022266e-03  5.67579607e-02
 -5.54692384e-02 -6.61820988e-02 -1.02164426e-01 -1.47690813e-01
 -1.46474527e-02 -3.29614696e-02 -5.77209274e-02  5.87911826e-02
  1.32760651e-01 -3.26054130e-01  4.56411971e-01  3.25007007e-01
  4.32669410e-01  4.35111558e-01  4.54301267e-01  4.33868240e-01
  1.20059123e+00  1.21132827e+00  1.20499229e+00]",0.1047290624170195,0
[-0.44484028 -0.20213664 -0.44368574 -0.3808495  -0.4187811  -0.15896133],3,"[ 0.56920336  0.54234192  0.15055231  0.59933861  0.3879739   0.47633192
  0.44044669  0.65466852  0.39356788  0.72511046  0.37458581  0.42308938
 -0.00476535 -0.02834196 -0.07862094  0.24442156 -0.21561052  0.07098502
  0.00310764  0.07879399 -0.04443492 -0.02726627 -0.1372111   0.15103518
 -0.02599678 -0.02251928 -0.05865575  0.05208918  0.19281102  0.28637535
  0.45126485  0.32283918  0.42747295  0.43062793  0.44963656  0.43129372
  1.20282293  1.21334711  1.20679538]",0.09737665936952215,0
[-0.44257948 -0.1699746  -0.42695013 -0.21803418 -0.28232872 -0.15247956],3,"[ 5.67172241e-01  5.43286395e-01  1.52979887e-01  5.99793878e-01
  3.88052543e-01  4.76845430e-01  4.41809457e-01  6.53328450e-01
  3.93574085e-01  7.24473637e-01  3.73529544e-01  4.25103597e-01
  2.25365634e-04 -5.72189069e-04 -8.85953726e-02  2.76110465e-01
 -1.86674347e-01 -2.22121050e-01  1.38710545e-02  1.01535753e-01
 -3.24114343e-02 -4.11072689e-03 -1.54424454e-01  3.01514726e-02
 -1.49632676e-02 -3.89769617e-02 -6.51889217e-02 -7.12124442e-03
  2.46428045e-01 -4.64783799e-01  4.45206743e-01  3.21198933e-01
  4.21577688e-01  4.25969465e-01  4.44413725e-01  4.28773125e-01
  1.20510530e+00  1.21541768e+00  1.20881391e+00]",0.08685333229723234,0
[-0.4485053  -0.2272272  -0.4482915  -0.22709878 -0.2201719  -0.15587273],3,"[ 0.56532454  0.54400299  0.15559289  0.60021643  0.38672813  0.47844754
  0.44147626  0.65316768  0.39211984  0.72469914  0.37125931  0.42804172
  0.02808994  0.02490525 -0.08777975  0.25829897 -0.18740768 -0.14426921
  0.02228862  0.12407826 -0.04546735 -0.01512867 -0.16418031 -0.3310275
 -0.00939217 -0.00828111 -0.04960669  0.00957231  0.22209636 -0.04857942
  0.43818958  0.31995784  0.41512317  0.42158156  0.43935435  0.42631946
  1.20734857  1.21749538  1.21088529]",0.06480325441740943,0
[-0.39039794 -0.16232094 -0.44506937 -0.23243202 -0.34994662 -0.18807432],3,"[ 0.56251184  0.54591165  0.15708811  0.6007364   0.38396006  0.48122314
  0.43929168  0.65423373  0.39381399  0.72330287  0.37078193  0.42926013
  0.01699372  0.04154695 -0.06130377  0.25517244 -0.19876138 -0.58643047
  0.02236022  0.14801364 -0.03962718 -0.00238071 -0.18046871 -0.575031
 -0.00503063  0.00291162 -0.04855245 -0.01998622  0.22412684 -0.1986704
  0.43094199  0.31885607  0.40812144  0.41734688  0.43440683  0.42387196
  1.20952497  1.21957947  1.21301049]",0.040822043814997405,0
[-0.44700444 -0.17011476 -0.43518382 -0.43473598 -0.23706214 -0.18536136],3,"[ 0.56028188  0.54726259  0.15946083  0.60096599  0.38091288  0.48415669
  0.43737348  0.65513519  0.39301715  0.72325193  0.36885606  0.43172836
  0.02027743  0.04628758 -0.07100425  0.26776121 -0.23642659 -0.47971565
  0.02192043  0.16979833 -0.03376315  0.0271509  -0.24130356 -0.15056663
 -0.0225431   0.02231055 -0.0473473   0.02690058  0.21617642 -0.1601281
  0.42341046  0.31806642  0.40080464  0.41263535  0.42958931  0.42146625
  1.21182976  1.22160695  1.21515599]",0.025407594541656493,0
[-0.44020677 -0.15960836 -0.4247397  -0.30289567 -0.30001742 -0.15411803],3,"[ 5.57514464e-01  5.49083464e-01  1.61713661e-01  6.01276694e-01
  3.79426466e-01  4.85664402e-01  4.38484022e-01  6.54138677e-01
  3.93119817e-01  7.22641664e-01  3.67501512e-01  4.33806955e-01
  1.20890791e-02  6.70498789e-02 -7.46088989e-02  2.82005731e-01
 -2.91678900e-01  1.10746353e-01  1.67901332e-02  1.85516102e-01
 -1.65920375e-02  6.07720116e-02 -2.60190122e-01  4.84467707e-04
 -3.04332801e-02  3.90071550e-02 -4.29907882e-02  2.45982515e-02
  2.27597785e-01  1.88882873e-01  4.15654154e-01  3.17516508e-01
  3.93239385e-01  4.07370088e-01  4.24872791e-01  4.19077989e-01
  1.21417927e+00  1.22364810e+00  1.21736028e+00]",0.015236689257987218,0
[-0.44454128 -0.1555976  -0.4287698  -0.39861932 -0.29647055 -0.15536553],3,"[ 0.55528613  0.55041328  0.16469572  0.60131345  0.37666065  0.48811209
  0.43804954  0.65420634  0.39119237  0.72318467  0.36474732  0.4369575
  0.01521836  0.0769586  -0.05848101  0.28162216 -0.27618819 -0.51834195
  0.01947037  0.2041683  -0.02532526  0.05040438 -0.2608938  -0.43619794
 -0.02409535  0.05998969 -0.03803079 -0.00979983  0.2367028  -0.4762475
  0.40744424  0.31732153  0.38562994  0.40173967  0.42005062  0.41682489
  1.21661372  1.22560937  1.21960576]",-0.003491448423187982,0
[-0.44518408 -0.15769371 -0.4333144  -0.3879056  -0.25105023 -0.17690903],3,"[ 0.55221346  0.5527266   0.16670886  0.60146634  0.37300087  0.49120378
  0.4365042   0.65502159  0.39172372  0.72249913  0.36312133  0.43896518
  0.01674296  0.0971248  -0.05670941  0.26346092 -0.28997367  0.12063904
  0.01842813  0.21678408 -0.02132502  0.0627608  -0.27415999 -0.44362321
 -0.02680699  0.08062754 -0.03722336 -0.04543623  0.27365115  0.17684819
  0.39911232  0.31726902  0.37790753  0.39560245  0.41533633  0.41470812
  1.21909086  1.22752622  1.22189614]",-0.022348300513406034,0
